Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,"tensor(0.9727, device='cuda:0')","tensor(0.0114, device='cuda:0')","tensor(0.5954, device='cuda:0')","tensor(0.5681, device='cuda:0')",22.18056043110409,"tensor(0.6560, device='cuda:0')"
2,"tensor(1., device='cuda:0')","tensor(0.0075, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(1.0000, device='cuda:0')",22.849523031647255,"tensor(0.6620, device='cuda:0')"
3,"tensor(1., device='cuda:0')","tensor(0.0070, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(1.0000, device='cuda:0')",22.60891354512311,"tensor(0.6736, device='cuda:0')"
4,"tensor(1., device='cuda:0')","tensor(0.0068, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(1.0000, device='cuda:0')",22.97514431585335,"tensor(0.6724, device='cuda:0')"
5,"tensor(1., device='cuda:0')","tensor(0.0066, device='cuda:0')","tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",22.90149834566193,"tensor(0.6736, device='cuda:0')"
6,"tensor(1., device='cuda:0')","tensor(0.0065, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(1.0000, device='cuda:0')",23.070470763683236,"tensor(0.6795, device='cuda:0')"
7,"tensor(1., device='cuda:0')","tensor(0.0064, device='cuda:0')","tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",22.948746759701613,"tensor(0.6746, device='cuda:0')"
8,"tensor(1., device='cuda:0')","tensor(0.0064, device='cuda:0')","tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",23.192613245176503,"tensor(0.6866, device='cuda:0')"
9,"tensor(1., device='cuda:0')","tensor(0.0063, device='cuda:0')","tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",23.267079905176335,"tensor(0.6852, device='cuda:0')"
10,"tensor(1., device='cuda:0')","tensor(0.0063, device='cuda:0')","tensor(1., device='cuda:0')","tensor(1., device='cuda:0')",23.135707464735226,"tensor(0.6836, device='cuda:0')"
